"filename", "language", "JSON", "JSON with Comments", "HTML", "JavaScript", "Markdown", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Development\Projects\Active\bitogram\bitogram-web\src\screens\main\channel\Messages.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 32, 168
"c:\Development\Projects\Active\bitogram\bitogram-web\src\screens\main\channel\Messages\InfoText.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Development\Projects\Active\bitogram\bitogram-web\src\screens\main\channel\Messages\InfoText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Development\Projects\Active\bitogram\bitogram-web\src\screens\main\channel\Messages\Message.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Development\Projects\Active\bitogram\bitogram-web\src\screens\main\channel\Messages\Message.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"c:\Development\Projects\Active\bitogram\bitogram-web\src\screens\main\channel\Messages\MessagesDate.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Development\Projects\Active\bitogram\bitogram-web\src\screens\main\channel\Messages\MessagesDate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"c:\Development\Projects\Active\bitogram\bitogram-web\src\screens\main\search\UserPreview.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 5, 39
"c:\Development\Projects\Active\bitogram\bitogram-web\src\screens\main\search\UserPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\Development\Projects\Active\bitogram\bitogram-web\src\styles\color_variables.css", "PostCSS", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Development\Projects\Active\bitogram\bitogram-web\src\styles\outher_variables.css", "PostCSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Development\Projects\Active\bitogram\bitogram-web\src\utils\Net.ts", "TypeScript", 0, 0, 0, 0, 0, 310, 0, 0, 0, 0, 61, 371
"c:\Development\Projects\Active\bitogram\bitogram-web\tsconfig.app.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 37
"c:\Development\Projects\Active\bitogram\bitogram-web\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Development\Projects\Active\bitogram\bitogram-web\tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Development\Projects\Active\bitogram\bitogram-web\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 2, 40
"Total", "-", 7606, 7, 14, 44, 60, 376, 384, 1892, 23, 8, 489, 10903
